strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_fav_minus_1_5_v0,2026-08-04 08:00,,Nuclear TigeRES vs Just Players,-1.5 maps,Nuclear TigeRES,3,Sharp,1.98,1,won,0.98,0.98,-2.74,Sharp,,selected,2026-08-04 06:06
bo3_fav_minus_1_5_v0,2026-08-04 11:00,,ex-RUSTEC vs NEW VISION,-1.5 maps,ex-RUSTEC,3,Sharp,2.22,1,lost,-1.0,-0.02,10.19,Sharp,,selected,2026-08-04 03:06
bo3_fav_minus_1_5_v0,2026-08-04 23:00,,BESTIA vs METANOIA Wolves,-1.5 maps,BESTIA,3,Sharp,1.505,1,won,0.505,0.485,12.48,Sharp,,selected,2026-08-04 04:05
bo3_fav_minus_1_5_v0,2026-08-05 13:00,,Liquid vs fnatic,-1.5 maps,Liquid,3,Sharp,2.49,1,won,1.49,1.975,2.85,Sharp,,selected,2026-08-05 08:07
bo3_fav_minus_1_5_v0,2026-08-05 14:00,,Nordic Partners vs GenOne,-1.5 maps,GenOne,3,Sharp,2.29,1,won,1.29,3.265,2.4,Sharp,,selected,2026-08-05 04:06
bo3_fav_minus_1_5_v0,2026-08-06 17:00,,Yawara vs Isurus,-1.5 maps,Isurus,3,Sharp,2.86,1,lost,-1.0,2.265,-2.04,Sharp,,selected,2026-08-06 07:06
bo3_fav_minus_1_5_v0,2026-08-06 20:00,,METANOIA Wolves vs Procyon,-1.5 maps,Procyon,3,Sharp,2.86,1,lost,-1.0,,,,,ineligible,2026-08-06 10:06
bo3_fav_minus_1_5_v0,2026-08-07 16:00,,Virtus.pro vs Sangal,-1.5 maps,Virtus.pro,3,Sharp,2.22,1,won,1.22,,-0.23,Sharp,,quarantined,2026-08-06 23:06
bo3_fav_minus_1_5_v0,2026-08-07 16:00,,Prestige vs Metizport,-1.5 maps,Metizport,3,Sharp,1.794,1,won,0.794,,1.04,Sharp,,ineligible,2026-08-07 12:08
bo3_fav_minus_1_5_v0,2026-08-07 20:00,,BESTIA vs Yawara,-1.5 maps,BESTIA,3,Sharp,1.893,1,lost,-1.0,1.265,-0.75,Sharp,,selected,2026-08-07 11:06
bo3_fav_minus_1_5_v0,2026-08-08 10:30,,Phantom Academy vs VP.Prodigy,-1.5 maps,Phantom Academy,3,Sharp,3.03,1,won,2.03,,0.0,Sharp,,quarantined,2026-08-08 07:13
bo3_fav_minus_1_5_v0,2026-08-08 15:00,,Procyon vs ODDIK Academy,-1.5 maps,Procyon,3,Sharp,3.01,1,won,2.01,3.275,2.14,Sharp,,selected,2026-08-07 22:06
bo3_fav_minus_1_5_v0,2026-08-09 09:00,,Echo vs GenOne,-1.5 maps,Echo,3,Sharp,2.88,1,lost,-1.0,2.275,1.2,Sharp,,selected,2026-08-08 23:07
bo3_fav_minus_1_5_v0,2026-08-09 09:00,,Eternal Fire vs BIG,-1.5 maps,BIG,3,Sharp,2.13,1,won,1.13,3.405,-0.93,Sharp,,selected,2026-08-08 23:07
bo3_fav_minus_1_5_v0,2026-08-09 09:00,,9INE vs HOTU,-1.5 maps,HOTU,3,Sharp,2.4,1,won,1.4,4.805,-1.19,Sharp,,selected,2026-08-08 23:07
bo3_fav_minus_1_5_v0,2026-08-09 09:00,,1win vs Liquid,-1.5 maps,Liquid,3,Sharp,2.36,1,lost,-1.0,3.805,-0.32,Sharp,,selected,2026-08-08 23:07
bo3_fav_minus_1_5_v0,2026-08-10 20:00,,paiN Academy vs Keyd Stars,-1.5 maps,Keyd Stars,3,Sharp,2.08,1,lost,-1.0,2.805,4.18,Sharp,,selected,2026-08-10 04:07
